codigo_municipio,municipio,grupo,variable,mes,totales_total-m,totales-1_total-f,totales-2_total
71005,SAN PEDRO,intoxicaciones,plaguicidas,2015-10-01,0,1,1
70101,SANTA CRUZ DE LA SIERRA,intoxicaciones,plaguicidas,2015-10-01,0,2,2
70602,SANTA ROSA DEL SARA,intoxicaciones,plaguicidas,2015-10-01,2,1,3
30902,SIPE SIPE,intoxicaciones,plaguicidas,2015-10-01,1,0,1
10101,SUCRE,intoxicaciones,plaguicidas,2015-10-01,2,0,2
60101,TARIJA,intoxicaciones,plaguicidas,2015-10-01,4,4,8
31601,TIRAQUE (CBBA),intoxicaciones,plaguicidas,2015-10-01,1,2,3
30502,VACAS,intoxicaciones,plaguicidas,2015-10-01,0,1,1
31003,VILLA TUNARI,intoxicaciones,plaguicidas,2015-10-01,5,5,10
51501,VILLAZON,intoxicaciones,plaguicidas,2015-10-01,1,1,2
30904,VINTO,intoxicaciones,plaguicidas,2015-10-01,1,0,1
10602,YAMPARAEZ,intoxicaciones,plaguicidas,2015-10-01,0,1,1
30403,ARBIETO,intoxicaciones,plaguicidas,2015-11-01,0,2,2
71501,ASCENCION DE GUARAYOS,intoxicaciones,plaguicidas,2015-11-01,1,0,1
20502,AYATA,intoxicaciones,plaguicidas,2015-11-01,1,0,1
60202,BERMEJO,intoxicaciones,plaguicidas,2015-11-01,1,0,1
22001,CARANAVI,intoxicaciones,plaguicidas,2015-11-01,0,1,1
20501,CHUMA,intoxicaciones,plaguicidas,2015-11-01,0,1,1
30101,COCHABAMBA,intoxicaciones,plaguicidas,2015-11-01,5,4,9
20105,EL ALTO,intoxicaciones,plaguicidas,2015-11-01,2,3,5
21601,GRAL. J.J. PEREZ (CHARAZANI),intoxicaciones,plaguicidas,2015-11-01,1,0,1
21105,LA ASUNTA,intoxicaciones,plaguicidas,2015-11-01,1,1,2
